INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
"SAVEVIEW
Tod Sacerdoti
Flex Capital, LLC // Turbo Ventures, LLC
Angel",n/a,"$3.0M
($25K - $10.0M)",Investors in San Francisco (CA),"Investors in Analytics, Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Cloud Infrastructure, Investors in Cloud Infrastructure, Investors in Data Services, Investors in Data Services, Investors in Developer Tools, Investors in Developer Tools, Investors in Enterprise, Investors in Enterprise, Investors in FinTech, Investors in FinTech, Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in Marketplaces, Investors in Marketplaces, Investors in SaaS, Investors in SaaS, Investors in Sales & CRM, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Mike Sigal
500 Startups
Partner",n/a,"$150K
($25K - $500K)",Investors in Global,"Investors in AI, Investors in Blockchain, Investors in Cloud Infrastructure, Investors in FinTech, Investors in Insurance, Investors in MarketingTech (Seed), Investors in San Francisco Bay Area (Other Lists), Investors in Security"
"SAVEVIEW
Tim Kopp
Hyde Park Venture Partners
Managing Director",n/a,"$1M
($100K - $10.0M)",Investors in Indianapolis (IN),"Investors in Consumer Internet, Investors in Enterprise, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in Retail, Investors in SaaS, Investors in SMB Software, Investors in Social Networks, Investors in Travel"
"SAVEVIEW
Dylan Boyd
R/GA Ventures
Managing Director",n/a,"$120K
($100K - $500K)","Investors in New York (NY), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in London","Investors in Advertising, Investors in AR/VR, Investors in Blockchain, Investors in E-commerce, Investors in Entertainment & Sports, Investors in Gaming/eSports, Investors in Hardware, Investors in MarketingTech (Seed), Investors in Retail, Investors in Seattle / Portland (Other Lists)"
"SAVEVIEW
Logan Bartlett
Redpoint Ventures
Managing Director",n/a,"$1M
($100K - $10.0M)","Investors in SF Bay Area (CA), Investors in United States","Investors in Data Services, Investors in Enterprise, Investors in Human Capital/HRTech, Investors in MarketingTech (Seed)"
"SAVEVIEW
Kevin Weatherman
KW Angel Fund
Angel",n/a,"$10K
($5K - $200K)","Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in New York (NY)","Investors in Advertising, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Consumer Health, Investors in Data Services, Investors in Developer Tools, Investors in Enterprise, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in Media/Content, Investors in New York City (Other Lists), Investors in SaaS, Investors in Social Networks"
"SAVEVIEW
Boris Silver
FundersClub
Managing Director",n/a,"$250K
($25K - $1M)","Investors in San Francisco (CA), Investors in New York (NY), Investors in Sao Paulo, Investors in Toronto (Ontario), Investors in Tel Aviv (Israel), Investors in Los Angeles (CA), Investors in San Diego (CA), Investors in Chicago (IL), Investors in Boston (MA), Investors in Philadelphia (PA), Investors in Baltimore (MD), Investors in Seattle (WA), Investors in Portland (OR), Investors in Seattle / Portland, Investors in Miami (FL), Investors in Paris (France), Investors in London, Investors in Tokyo, Investors in Berlin, Investors in Brazil, Investors in Israel, Investors in Singapore","Investors in AgTech, Investors in BioTech, Investors in Consumer Internet, Investors in GovTech, Investors in IoT, Investors in Lodging/Hospitality, Investors in MarketingTech (Seed), Investors in Parenting/Families, Investors in Real Estate/PropTech, Investors in San Francisco Bay Area (Other Lists), Investors in TransportationTech"
"SAVEVIEW
Joshua Baer
Capital Factory
Managing Partner",n/a,"$35K
($20K - $50K)",Investors in Austin (TX),"Investors in Advertising, Investors in Cloud Infrastructure, Investors in Developer Tools, Investors in Entertainment & Sports, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in Media/Content, Investors in Messaging, Investors in Sales & CRM, Investors in Social Commerce"
"SAVEVIEW
Cindy Padnos
Illuminate Ventures
Managing Partner",n/a,"$750K
($250K - $1.5M)",Investors in Oakland (CA),"Investors in AI, Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Cloud Infrastructure, Investors in Diverse Investors (Other Lists), Investors in Enterprise Applications, Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in Human Capital/HRTech, Investors in IoT, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Michael Cardamone
Forum Ventures
Managing Partner",n/a,"$100K
($100K - $600K)","Investors in Toronto (Ontario), Investors in San Francisco (CA), Investors in New York (NY)","Investors in AI, Investors in Developer Tools, Investors in Enterprise, Investors in FinTech, Investors in Human Capital/HRTech, Investors in Insurance, Investors in IoT, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in SaaS, Investors in SMB Software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Gianluca Dettori
Primomiglio SGR
General Partner",n/a,"$350K
($50K - $2.0M)","Investors in Europe, Investors in United States","Investors in Blockchain, Investors in FinTech, Investors in Insurance, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Space"
"SAVEVIEW
Amir Banifatemi
K5 Ventures
Managing Partner",n/a,"$600K
($200K - $1.2M)",Investors in Paris (France),"Investors in Advertising, Investors in Cloud Infrastructure, Investors in Education, Investors in Games, Investors in Impact, Investors in MarketingTech (Seed), Investors in Messaging, Investors in Payments, Investors in Sales & CRM, Investors in Travel"
"SAVEVIEW
Marnix Groet
Creative Thinking Ventures
Managing Director",n/a,"$50K
($10K - $100K)",Investors in Milan,"Investors in Consumer Internet, Investors in E-commerce, Investors in Entertainment & Sports, Investors in FinTech, Investors in IoT, Investors in MarketingTech (Seed), Investors in Retail, Investors in Social Commerce, Investors in Travel"
"SAVEVIEW
Nico Lumma
next media accelerator GmbH
Managing Partner",n/a,"$50K
($25K - $50K)","Investors in Europe, Investors in Israel","Investors in Advertising, Investors in AI, Investors in Entertainment & Sports, Investors in MarketingTech (Seed), Investors in Media/Content, Investors in SaaS"
"SAVEVIEW
Alexander Rosen
Ridge Ventures
Managing Director",n/a,"$4.0M
($1M - $7.0M)",Investors in San Francisco (CA),"Investors in Advertising, Investors in Advertising, Investors in AI, Investors in AI, Investors in Analytics, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Cloud Infrastructure, Investors in Data Services, Investors in Data Services, Investors in Enterprise, Investors in Enterprise, Investors in IoT, Investors in IoT, Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in SaaS, Investors in SaaS, Investors in Sales & CRM, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Keith Petri
Gambit Ventures
General Partner",n/a,"$60K
($25K - $150K)",Investors in New York (NY),"Investors in Analytics, Investors in Data Services, Investors in FinTech, Investors in Logistics, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in SaaS, Investors in Sales & CRM"
"SAVEVIEW
Chris Graham
Noname Ventures
Managing Director",n/a,"$250K
($150K - $500K)",Investors in California,"Investors in AI, Investors in Analytics, Investors in AR/VR, Investors in Cryptocurrency, Investors in Data Services, Investors in Enterprise, Investors in GovTech, Investors in Logistics, Investors in Los Angeles / Southern California (Other Lists), Investors in MarketingTech (Seed), Investors in SaaS"
"SAVEVIEW
Kelby Price
Kentucky Science and Technology Corporation
Managing Director",n/a,"$250K
($100K - $750K)","Investors in Kentucky, Investors in Lexington-Fayette (KY), Investors in Covington (KY), Investors in Louisville/Jefferson County (KY), Investors in Bowling Green (KY), Investors in Owensboro (KY), Investors in Cincinnati (OH), Investors in Indianapolis (IN), Investors in Dayton (OH), Investors in Columbus (OH), Investors in Nashville-Davidson (TN), Investors in Knoxville (TN), Investors in Bloomington (IN), Investors in Evansville (IN)","Investors in AgTech, Investors in Education, Investors in Enterprise, Investors in Food and Beverage, Investors in Health IT, Investors in Logistics, Investors in Manufacturing, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Sales & CRM, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Karen Griffith Gryga
DreamIt Ventures
Managing Partner",n/a,"$50K
($0 - $0)",Investors in Philadelphia (PA),"Investors in Consumer Health, Investors in E-commerce, Investors in Education, Investors in Enterprise, Investors in Health & Hospital Services, Investors in Health IT, Investors in MarketingTech (Seed), Investors in Media/Content, Investors in Payments, Investors in Social Networks"
"SAVEVIEW
Dave Garland
Second Century Ventures
Managing Partner",n/a,"$2.0M
($500K - $4.0M)","Investors in Menlo Park (CA), Investors in Chicago (IL), Investors in Washington (D.C.), Investors in Provo (UT)","Investors in Advertising, Investors in AI, Investors in Blockchain, Investors in Data Services, Investors in IoT, Investors in MarketingTech (Seed), Investors in Real Estate/PropTech, Investors in SaaS, Investors in Social Commerce"
"SAVEVIEW
Tomas Puig
Test Kitchen Capital
Managing Partner",n/a,"$50K
($25K - $200K)",Investors in San Francisco (CA),"Investors in AgTech, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Developer Tools, Investors in Enterprise, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Security, Investors in SMB Software"
"SAVEVIEW
DG
Dragan Gasic
AMALFI Capital Limited
Managing Director",n/a,"$500K
($250K - $2.5M)",,"Investors in Advertising, Investors in AR/VR, Investors in EnergyTech, Investors in FinTech, Investors in Food and Beverage, Investors in MarketingTech (Seed), Investors in Payments, Investors in Real Estate/PropTech, Investors in SaaS, Investors in Security"
"SAVEVIEW
PM
Pat Matthews
Active Capital
Managing Partner",n/a,"$1M
($100K - $1M)",Investors in United States,"Investors in AI, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Sales & CRM, Investors in SMB Software"
"SAVEVIEW
Raoul Maier
Eudemian Ventures, LLC
Managing Partner",n/a,"$100K
($25K - $250K)",Investors in SF Bay Area (CA),"Investors in AI, Investors in Analytics, Investors in E-commerce, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in Media/Content, Investors in Payments, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Social Networks"
"SAVEVIEW
Kamal Ravikant
Evolve VC
Managing Partner",n/a,"$1M
($100K - $10.0M)",Investors in San Francisco (CA),"Investors in Blockchain, Investors in Data Services, Investors in E-commerce, Investors in Education, Investors in MarketingTech (Seed), Investors in San Francisco Bay Area (Other Lists), Investors in Social Commerce"
"SAVEVIEW
Marvin Liao
GAMEGROOVE Capital
Partner",n/a,"$250K
($10K - $500K)",Investors in San Francisco (CA),"Investors in Advertising, Investors in BioTech, Investors in Consumer Health, Investors in Consumer Internet, Investors in Developer Tools, Investors in Fashion, Investors in Food and Beverage, Investors in IoT, Investors in MarketingTech (Seed), Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Brandon Maier
Quake Capital
Partner",n/a,"$150K
($100K - $250K)","Investors in Los Angeles (CA), Investors in New York (NY), Investors in Austin (TX)","Investors in Advertising, Investors in AgTech, Investors in Cryptocurrency, Investors in FinTech, Investors in IoT, Investors in Los Angeles / Southern California (Other Lists), Investors in MarketingTech (Seed), Investors in SaaS, Investors in Travel"
"SAVEVIEW
Andy Theronier
Off Wall St. Lending Group
Partner",n/a,"$500K
($100K - $5.0M)","Investors in New York (NY), Investors in Miami (FL), Investors in London, Investors in Hong Kong, Investors in Las Vegas (NV), Investors in Los Angeles (CA), Investors in San Diego (CA), Investors in Palo Alto (CA), Investors in Lakeland (FL), Investors in Tampa (FL), Investors in Orlando (FL)","Investors in Advertising, Investors in BioTech, Investors in Education, Investors in Entertainment & Sports, Investors in FinTech, Investors in Health & Hospital Services, Investors in Health IT, Investors in MarketingTech (Seed), Investors in Media/Content, Investors in Payments, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Real Estate/PropTech"
"SAVEVIEW
Diego Gomes
SaaSholic Fund
Partner",n/a,"$100K
($10K - $100K)","Investors in United States, Investors in Brazil, Investors in Mexico (Mexico), Investors in Colombia","Investors in AI, Investors in Analytics, Investors in Cloud Infrastructure, Investors in Data Services, Investors in Diverse Investors (Other Lists), Investors in Education, Investors in Enterprise, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Sales & CRM, Investors in Security, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Eitan Bek
TLV Partners
Managing Partner",n/a,"$1M
($100K - $10.0M)",Investors in Tel Aviv (Israel),"Investors in Analytics, Investors in FinTech, Investors in IoT, Investors in Israel (Other Lists), Investors in MarketingTech (Seed), Investors in Mobility"
"SAVEVIEW
Federico Carrasco
Graypes GmbH
President",n/a,"$1.5M
($100K - $110.0M)","Investors in Palo Alto (CA), Investors in Israel","Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Blockchain, Investors in Consumer Health, Investors in E-commerce, Investors in Education, Investors in EnergyTech, Investors in Female Investors (Other Lists), Investors in Health IT, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in Real Estate/PropTech, Investors in SaaS"
"SAVEVIEW
Herman Kienhuis
River Venture Partners
Managing Partner",n/a,"$200K
($100K - $300K)","Investors in Germany, Investors in Belgium, Investors in Europe, Investors in Amsterdam, Investors in Eindhoven (Netherlands)","Investors in AI, Investors in Analytics, Investors in Data Services, Investors in Enterprise, Investors in Human Capital/HRTech, Investors in MarketingTech (Seed), Investors in Real Estate/PropTech, Investors in SaaS, Investors in Sales & CRM, Investors in Security, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
"SAVEVIEW
Adam Benayoun
Collider Ventures
Venture Partner",n/a,"$25K
($10K - $50K)",Investors in Tel Aviv (Israel),"Investors in Blockchain, Investors in Cryptocurrency, Investors in Developer Tools, Investors in Israel (Other Lists), Investors in MarketingTech (Seed), Investors in Sales & CRM"
"SAVEVIEW
Kobie Fuller
Upfront Ventures
Partner",n/a,"$4.0M
($500K - $10.0M)",Investors in Santa Monica (CA),"Investors in Diverse Investors (Other Lists), Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in SaaS, Investors in SaaS"
"SAVEVIEW
Pascale Diaine
Storm Ventures
Partner",n/a,"$3.0M
($1M - $5.0M)","Investors in Portugal, Investors in Brazil, Investors in Germany","Investors in AI, Investors in AI, Investors in AR/VR, Investors in AR/VR, Investors in Enterprise, Investors in Enterprise, Investors in IoT, Investors in IoT, Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in Messaging, Investors in Messaging, Investors in Retail, Investors in Retail, Investors in Robotics, Investors in Robotics, Investors in Sales & CRM, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Michael Carney
Upfront Ventures
Senior Associate",n/a,"$3.0M
($1M - $10.0M)","Investors in Los Angeles (CA), Investors in San Diego (CA), Investors in San Francisco (CA), Investors in Seattle (WA), Investors in Chicago (IL), Investors in New York (NY), Investors in Boston (MA), Investors in Washington (DC), Investors in Austin (TX), Investors in Boulder (CO), Investors in Denver (CO), Investors in Santa Barbara (CA)","Investors in AI, Investors in AI, Investors in Blockchain, Investors in Blockchain, Investors in Consumer Health, Investors in Consumer Health, Investors in E-commerce, Investors in E-commerce, Investors in FinTech, Investors in FinTech, Investors in Insurance, Investors in Insurance, Investors in Lodging/Hospitality, Investors in Lodging/Hospitality, Investors in Los Angeles / Southern California (Other Lists), Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in Marketplaces, Investors in Marketplaces, Investors in SaaS, Investors in SaaS"
"SAVEVIEW
Matthew Lydecker
Luma Launch
Partner",n/a,"$250K
($100K - $500K)",Investors in Santa Monica (CA),"Investors in Advertising, Investors in AI, Investors in Analytics, Investors in Consumer Internet, Investors in E-commerce, Investors in Enterprise, Investors in Entertainment & Sports, Investors in MarketingTech (Seed), Investors in Media/Content, Investors in SaaS"
"SAVEVIEW
James Hill
First Trust Capital Partners
Vice President",n/a,"$3.0M
($1M - $5.0M)",,"Investors in Enterprise, Investors in Enterprise, Investors in FinTech, Investors in FinTech, Investors in Health IT, Investors in Health IT, Investors in MarketingTech (Seed), Investors in MarketingTech (Series A), Investors in Midwest (Other Lists), Investors in Payments, Investors in Payments, Investors in SaaS, Investors in SaaS, Investors in Sales & CRM, Investors in Sales & CRM"
"SAVEVIEW
Hiro Tien
The MBA Fund
Investor",n/a,"$100K
($25K - $150K)",Investors in SF Bay Area (CA),"Investors in Advertising, Investors in AI, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in E-commerce, Investors in Enterprise, Investors in Fashion, Investors in Future of Work, Investors in Local Services, Investors in MarketingTech (Seed), Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Social Commerce"
"SAVEVIEW
Joshua Browder
Browder Capital
Investor",n/a,"$1M
($100K - $10.0M)",Investors in SF Bay Area (CA),"Investors in AI, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Consumer Internet, Investors in MarketingTech (Seed), Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in SMB Software"
"SAVEVIEW
Tom Horsey
Crazy4Media
Partner",n/a,"$50K
($10K - $150K)","Investors in Valencia (Spain), Investors in Europe","Investors in Advertising, Investors in AgTech, Investors in AI, Investors in CleanTech/Environment, Investors in Games, Investors in Gaming/eSports, Investors in Logistics, Investors in MarketingTech (Seed), Investors in Messaging, Investors in TransportationTech"
"SAVEVIEW
Andrew Pitz
HighScale Ventures
General Partner",n/a,"$1M
($100K - $10.0M)",Investors in New York (NY),"Investors in FinTech, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in Sales & CRM"
"SAVEVIEW
Jennifer Savage
Illuminate Ventures
Partner",n/a,"$750K
($250K - $1.5M)",,"Investors in AI, Investors in Analytics, Investors in AR/VR, Investors in Blockchain, Investors in Enterprise, Investors in Future of Work, Investors in Human Capital/HRTech, Investors in MarketingTech (Seed), Investors in SaaS, Investors in Sales & CRM, Investors in Seattle / Portland (Other Lists)"
"SAVEVIEW
Kelly Klein
Disruptive Technologies Venture Capital
Principal",n/a,"$2.0M
($1M - $3.0M)",Investors in Israel,"Investors in AI, Investors in Analytics, Investors in Developer Tools, Investors in Enterprise, Investors in IoT, Investors in Israel (Other Lists), Investors in MarketingTech (Seed), Investors in SaaS"
"SAVEVIEW
SR
Sunil Rajaraman
Angel",n/a,"$25K
($10K - $50K)",Investors in San Francisco (CA),"Investors in Advertising, Investors in AgTech, Investors in AI, Investors in Analytics, Investors in Enterprise, Investors in Future of Work, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in Media/Content, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Kevin Siskar
Firehouse Fund
Angel",n/a,"$25K
($5K - $250K)","Investors in Palo Alto (CA), Investors in San Francisco (CA), Investors in San Jose (CA), Investors in New York (NY), Investors in Buffalo (NY)","Investors in Advertising, Investors in AI, Investors in Blockchain, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in New York City (Other Lists), Investors in Payments, Investors in Real Estate/PropTech, Investors in SaaS, Investors in Space"
"SAVEVIEW
Ilya Korolev
Internet Initiatives Development Fund
Managing Partner",n/a,"$500K
($60K - $4.0M)","Investors in Moscow, Investors in Delaware, Investors in Singapore, Investors in Europe","Investors in AI, Investors in AR/VR, Investors in Developer Tools, Investors in Enterprise, Investors in FinTech, Investors in MarketingTech (Seed), Investors in Marketplaces, Investors in SaaS, Investors in Sales & CRM, Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Chris Moreno
Real Estate Tech Rolling Fund
General Partner",n/a,"$50K
($25K - $150K)","Investors in Atlanta (GA), Investors in SF Bay Area (CA)","Investors in Consumer Health, Investors in Diverse Investors (Other Lists), Investors in E-commerce, Investors in FinTech, Investors in Future of Work, Investors in Logistics, Investors in MarketingTech (Seed), Investors in Payments, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Real Estate/PropTech, Investors in SaaS, Investors in Sales & CRM, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Whitney Sales
Acceleprise VC
General Partner",n/a,"$250K
($100K - $750K)","Investors in United States, Investors in Canada","Investors in AI, Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Data Services, Investors in Developer Tools, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in FinTech, Investors in MarketingTech (Seed), Investors in Real Estate/PropTech, Investors in SaaS, Investors in Sales & CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Joe Merrill
Sputnik ATX
General Partner",n/a,"$100K
($100K - $500K)",Investors in Austin (TX),"Investors in AI, Investors in Austin (Other Lists), Investors in Data Services, Investors in Education, Investors in EnergyTech, Investors in Enterprise, Investors in FinTech, Investors in Gaming/eSports, Investors in MarketingTech (Seed), Investors in SaaS, Investors in SMB Software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Aaron Everhart
Zehntbauer Vietnam LLC
Managing Partner",n/a,"$1
($1 - $2)",,"Investors in Advertising, Investors in AgTech, Investors in Blockchain, Investors in Cryptocurrency, Investors in Education, Investors in Food and Beverage, Investors in Lodging/Hospitality, Investors in MarketingTech (Seed), Investors in Media/Content, Investors in Travel, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
David Sargeant
IGAMING IDEAS
General Partner",n/a,"$150K
($50K - $250K)","Investors in United States, Investors in Europe, Investors in Canada, Investors in Las Vegas (NV), Investors in New York (NY), Investors in London","Investors in Advertising, Investors in AI, Investors in Analytics, Investors in AR/VR, Investors in Entertainment & Sports, Investors in Games, Investors in Gaming/eSports, Investors in London (Other Lists), Investors in MarketingTech (Seed), Investors in Media/Content, Investors in Messaging, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
